question,answer
I forgot the password of my online application account – what should I do?,"In case you forgot the password of your online application account you can use the password recovery function.
Go to the account sign in
Click the “Forgot password” link
Enter your email address
Check your email account for the recovery message and follow the instructions given there. "
Can I change the mobile number registered in my online application account?,"Yes, this is possible. Just sign in to your ePassport online account. Click on the account name and select “Account data”.
Now you can do the following:

·      Activate or de-activate the SMS notification function

·      Enter a new mobile number where you want to receive the automated status notifications.

Please note: An individual mobile number can only be used for one ePassport online account. 

"
Can I change the email address for my online application account?,"No, the email address you used for registering your ePassport online account cannot be changed.
In case you have issues with your existing email address you may create a new account at the ePassport online portal with a different email address."
I did not receive the account activation email when using online application – what should I do?,"This may have several reasons. Please check the following:

Spam Folder: Sometimes emails are automatically put to the spam folder of your email account. Please check the spam folder first.

You misspelled your email address during registration: in this case just start the account creation again and make sure to enter the correct email address. "
I deleted my account but now want to submit a new application with my NID or BRC number - but it does not work. What can I do?,"As soon as an ePassport application is submitted you cannot change the application data in the online portal. Even if you delete the account and open a new one. After deleting your account you cannot access your application details, appointment scheduling or other information.
What you need to do if you already have a scheduled appointment:
Please visit your passport office at the date and time of the appointment. During the enrolment for the passport mistakes in your application data can be corrected. The correct data needs to be proven by NID/BRC or previous passport (if available) or with other official documents (e.g. professional certificate, marriage certificate).
You need to provide at least your online registration ID (OID) which was also submitted to you by email. With this number your application can be processed.
What you need to do if you don't have an appointment scheduled:
After deleting an application you cannot schedule an appointment for this applicant anymore. But currently RPOs only process applications by appointment.
What you can do:
a) If you did not make the payment yet: your application will expire automatically within 200 days after submission of the registration. Afterwards you can submit a new registration with your NID or BRC no.
b) If you made the payment already online when submitting the online registration: in this case please contact your RPO for a solution."
I can't get an appointment at my passport office in the near future - what can I do?,"At the moment ePassport applications can only be done with a scheduled appointment. But the RPOs are working hard to expand the capacity over the next weeks.
Please look up the appointment schedule frequently to see if new appointments can be made at your passport office."
Can I cancel or re-schedule an online appointment at passport office?,"Yes this is possible.

In order to cancel or re-schedule your online appointment please sign in to your ePassport Online Portal account and go to My Applications. There you see all applications with scheduled appointments. Open the application where your want to cancel / re-schedule. On the application summary page you can now cancel and re-schedule the appointment.
"
Can I schedule online appointments even if I don’t use online application but PDF from?,"No, this is not possible. 

In order to schedule online appointments to save waiting time at the passport office you have to submit your application online. 

Please click here to start the online application process. "
I want to reschedule my appointment that I missed due to Covid-19 shutdown - how can I do this?,"In order to re-schedule your appointment please login to your online portal account and open the application in your user account by clicking on APPLICANT NAME. 

Then you see the summary of the application data and at the top of the page the scheduled appointment. 
Use the button „Reschedule / Cancel Appointment“ to cancel the missed appointment first. 
Then you are able to schedule a new appointment. "
How can I schedule an appointment at passport office?,"At selected passport offices with many visitors there is an online appointment service.

This service is available for online applications only. At the end of the online application process you can look up available appointment times and pick a time slot that fits for you. This will reduce waiting time at the passport office. Please make sure to visit your passport office in time at the reserved appointment slot.

If you are late for the appointment or miss it then you may only be able to join the regular waiting queue which may include a longer waiting time. So make sure you are there even a little early."
How can I pay for the ePassport?,"If you use the online application you can also pay the passport directly there via eChallan payment gateway.

You can also make your payment for the ePassport at one of the supporting banks in Bangladesh.
These banks are: Dhaka Bank, Trust Bank, Sonali Bank, Bank Asia, Premier Bank, Bank One."
I experienced issues with Online Payment - what can I do?,"If you tried to pay the passport fees via Online Payment (eChallan payment portal) but you did not receive a final confirmation for your application you should do the following:
Check in your ""Application Summary"" if the application is in status ""Submitted"" and Payment Type is ""Online"". If also the paid amount is listed correctly your payment was done successfully. Print the ""Application Summary"" and take it with you when visit the passport office for enrolment.
If no online payment was performed you can also change to ""Offline Payment"" and submit the application. Afterwards you can pay the passport fee at one of the supporting banks and provide the bank payment slip during enrolment at the passport office.
If the payment was transferred from your account (credit card, mobile payment), but your online application doesn't show a confirmed online payment you should do the following:
Request the payment slip / transaction document from eChallan or you payment provider and present it during enrolment at the passport office."
Having trouble viewing online status. Application ID / Online Registration ID is required despite providing Application ID / Online Registration ID. What can I do?,Clear the browser's Cache and Cookies and check again.
Why should I use the online application?,"When using the online application service you can use the following additional services:

Automated and reliable check to find your responsible passport office and see if it already supports ePassport
Online payment for paying the passport fees – you don’t have to go to a specific bank to make a payment there
Schedule online appointments for enrolment at passport offices – this will reduce waiting time at the passport office.
Check status of all applications in your online passport account at a glance
Start applications and complete it later including payment and appointment at the passport office
 
Start your online application now and try out the services. "
Some of my data changed compared to my previous passport - how can I apply?,"It is normal that some data may change over time e.g. present address, profession, emergency contact information or marital status.
Here is what you need to do: Please submit the most recent data with your ePassport application. These changes are handled in the passport office when you are enrolled for the ePassport.
IMPORTANT: for the following changes you have to provide according documents:

Change of profession: provide Professional Certificate / Student ID (if applicable)
Change of marital status: provide Marriage Certificate
Change of name, date of birth, place of birth, fathers or mothers name: provide all required official documents like NID/BRC, previous passport (if available), further documents. These are checked by the passport office during enrolment and may be subject for deeper checks with according Bangladesh authorities. In such case processing of the application may take more time.

If your present address is different from the present address in your previous passport the ePassport application can only be processed by the passport office of the new present address. Please make sure you have the new present address stated in your application. This may be subject for Special Branch Police verification. If your new address cannot be verified that application may be cancelled, paid passport fees are not reimbursed in this case."
How do I fill in the “Given Name” and “Surname” part of the name?,"Case 1 : Name with single part
Example: Bakar
a. Given Name:-------------
b. Surname: Bakar

Case 2 : Name with double part
Example: Md Bakar
Option 1
a. Given Name: Md
b. Surname: Bakar
Option 2
c. Given Name:-------------
d. Surname: Md Bakar

Case 3 : Name with triple part
Example: Md Abu Bakar
Option 1
a. Given Name: Md Abu
b. Surname: Bakar
Option 2
c. Given Name:Md 
d. Surname: Abu Bakar

Case 4 : Name with four part
Example: Md Abu Bakar Siddique
Option 1
a. Given Name: Md Abu Bakar
b. Surname: Siddique
Option 2
c. Given Name: Md Abu
d. Surname: Bakar Siddique
Option 3
e. Given Name: Md
f. Surname: Abu Bakar Siddique"
I made mistakes in my application data and my application is already submitted - what can I do?,"If you recognize that you have submitted your ePassport application, but some of the application data is not correct you should do the following:

Please visit you passport office with the printed ""Application Summary"". Your application will be found there and the incorrect data can be changed by the enrolment officer.

IMPORTANT: please provide the required document like NID or BRC and previous passport (if available), or other official documents to proof the correct data.

If you stated the wrong name of the applicant and you already made the payment of the passport fees using the incorrect name (either via online payment or bank payment) this can also be handled by the passport office. In this case a specific clearance is required which can take some time.

"
How can I check my e-Passport status?,"Please Follow the link: 
https://www.epassport.gov.bd/authorization/application-status
To check status of your passport from the e-Passport online portal."
Where can I get the new ePassport?,"The new ePassport will be introduced at all Bangladesh passport offices and Bangladesh Missions step by step during the next months.

If your passport office is not listed yet you may wait until ePassports are available there or you can apply for the current Machine Readable Passport instead.

Important: Only applicants with present address belonging to the listed RPOs can apply there for the new ePassport. Applicants from other regions will not be accepted.

Passport Offices already issuing ePassport:


District Dhaka – Passport Office Agargaon

District Dhaka – Passport Office Uttara

District Dhaka – Passport Office Jatrabari 

District Dhaka - Passport Office Dhaka Cantonment"
I don't have an email address - can I also apply online?,"An email address is required to use the online application.

If you want to apply by Online Application and don't have an email address yet you can get a free address from several services. Two popular services are Google and Yahoo.

Get email from Google

Get email fromYahoo

Follow the instructions on the relevant pages of the service provides. It is a quick and easy process and with your new email address you are ready to start your online application!"
Is it possible to upgrade to express delivery after the enrolment for ePassport was done?,"Yes, this is possible as long as your passport application is still in processing and not produced. Please check the status first on the online portal home page.

If your passport is eligible for Express Delivery upgrade please make the payment for the additional amount at one of the supporting banks. This applies also if you made the initial payment for the passport by online payment.

When you visit the passport office bring the following documents with you:

Delivery Slip of ePassport application (you got during enrolment)
Payment slip of supplemental payment from the bank
"
